"SourceId","Type","Summary","Action","JiraId","JiraKey","Status","Error"
"1","Epic","M0 — Base de ingeniería reproducible","CREATED","10006","LCIA-7","Backlog",""
"7","Epic","M1 — Walking skeleton remoto ↔ gateway","CREATED","10007","LCIA-8","Backlog",""
"14","Epic","M2 — Fuente local e índice mínimo persistente","CREATED","10008","LCIA-9","Backlog",""
"22","Epic","M3 — Autorización de dominio y resolución de ámbito","CREATED","10009","LCIA-10","Backlog",""
"30","Epic","M4 — Autenticación real con Auth0","CREATED","10010","LCIA-11","Backlog",""
"37","Epic","M5 — Protocolo robusto, fan-out y cobertura","CREATED","10011","LCIA-12","Backlog",""
"47","Epic","M6 — Extracción e indexación de contenido local","CREATED","10012","LCIA-13","Backlog",""
"56","Epic","M7 — Evaluación reproducible de recuperación","CREATED","10013","LCIA-14","Backlog",""
"63","Epic","M8 — Obtención explícita y efímera de documentos","CREATED","10014","LCIA-15","Backlog",""
"72","Epic","M9 — POST-MVP — Capacidades LLM controladas","CREATED","10015","LCIA-16","Backlog",""
"2","Task","M0.1 — Fijar toolchain Java/Maven soportado","CREATED","10016","LCIA-17","Backlog",""
"3","Task","M0.2 — Verificar el núcleo synthetic-retrieval","CREATED","10017","LCIA-18","Backlog",""
"4","Task","M0.3 — Cerrar el cambio SDD sintético","CREATED","10018","LCIA-19","Backlog",""
"5","Task","M0.4 — Crear guardas de arquitectura base","CREATED","10019","LCIA-20","Backlog",""
"6","Task","M0.5 — Configurar CI mínima de calidad","CREATED","10020","LCIA-21","Backlog",""
"8","Task","M1.1 — Definir contratos mínimos de búsqueda y trabajo","CREATED","10021","LCIA-22","Backlog",""
"9","Task","M1.2 — Implementar cola remota de trabajo en memoria","CREATED","10022","LCIA-23","Backlog",""
"10","Story","M1.3 — Implementar long-poll básico del gateway","CREATED","10023","LCIA-24","Backlog",""
"11","Task","M1.4 — Crear buscador sintético detrás de un puerto","CREATED","10024","LCIA-25","Backlog",""
"12","Task","M1.5 — Emitir referencias opacas y minimizar candidatos","CREATED","10025","LCIA-26","Backlog",""
"13","Story","M1.6 — Cerrar primer E2E de búsqueda remota","CREATED","10026","LCIA-27","Backlog",""
"15","Story","M2.1 — Registrar una carpeta como fuente local segura","CREATED","10027","LCIA-28","Backlog",""
"16","Task","M2.2 — Modelar identidad y huella local de documento","CREATED","10028","LCIA-29","Backlog",""
"17","Task","M2.3 — Implementar reconciliación inicial de la fuente","CREATED","10029","LCIA-30","Backlog",""
"18","Task","M2.4 — Persistir índice local de metadatos","CREATED","10030","LCIA-31","Backlog",""
"19","Story","M2.5 — Buscar por nombre y metadatos en el índice local","CREATED","10031","LCIA-32","Backlog",""
"20","Task","M2.6 — Invalidar referencias obsoletas","CREATED","10032","LCIA-33","Backlog",""
"21","Story","M2.7 — E2E de búsqueda sobre carpeta real de prueba","CREATED","10033","LCIA-34","Backlog",""
"23","Task","M3.1 — Modelar Actor, Tenant y Membership","CREATED","10034","LCIA-35","Backlog",""
"24","Task","M3.2 — Modelar SourceGrant y fuente administrable","CREATED","10035","LCIA-36","Backlog",""
"25","Task","M3.3 — Implementar contexto de tenant activo","CREATED","10036","LCIA-37","Backlog",""
"26","Task","M3.4 — Implementar source scope y collection scope mínimos","CREATED","10037","LCIA-38","Backlog",""
"27","Story","M3.5 — Resolver determinísticamente el menor ámbito autorizado","CREATED","10038","LCIA-39","Backlog",""
"28","Task","M3.6 — Revalidar autorización en el gateway local","CREATED","10039","LCIA-40","Backlog",""
"29","Story","M3.7 — Demostrar indistinguibilidad entre tenants","CREATED","10040","LCIA-41","Backlog",""
"31","Task","M4.1 — Configurar Resource Server y validación de token","CREATED","10041","LCIA-42","Backlog",""
"32","Task","M4.2 — Resolver issuer+subject a Actor interno","CREATED","10042","LCIA-43","Backlog",""
"33","Story","M4.3 — Construir ActorContext desde autenticación y tenant activo","CREATED","10043","LCIA-44","Backlog",""
"34","Task","M4.4 — Gestionar configuración y secretos de Auth0 por entorno","CREATED","10044","LCIA-45","Backlog",""
"35","Task","M4.5 — Incorporar step-up MFA para operaciones privilegiadas","CREATED","10045","LCIA-46","Backlog",""
"36","Story","M4.6 — E2E autenticado de búsqueda","CREATED","10046","LCIA-47","Backlog",""
"38","Task","M5.1 — Versionar protocolo y WorkItem","CREATED","10047","LCIA-48","Backlog",""
"39","Task","M5.2 — Implementar lease y ACK","CREATED","10048","LCIA-49","Backlog",""
"40","Task","M5.3 — Implementar anti-replay, expiración e idempotencia","CREATED","10049","LCIA-50","Backlog",""
"41","Task","M5.4 — Añadir backpressure y capacidad del gateway","CREATED","10050","LCIA-51","Backlog",""
"42","Story","M5.5 — Ejecutar fan-out paralelo a gateways esperados","CREATED","10051","LCIA-52","Backlog",""
"43","Task","M5.6 — Consolidar cobertura COMPLETE/PARTIAL","CREATED","10052","LCIA-53","Backlog",""
"44","Task","M5.7 — Administrar obligatoriedad de fuente/gateway","CREATED","10053","LCIA-54","Backlog",""
"45","Task","M5.8 — Implementar cancelación y reintentos acotados","CREATED","10054","LCIA-55","Backlog",""
"46","Story","M5.9 — Suite E2E de fallos distribuidos","CREATED","10055","LCIA-56","Backlog",""
"48","Task","M6.1 — Definir puerto de extracción documental","CREATED","10056","LCIA-57","Backlog",""
"49","Story","M6.2 — Extraer texto de PDF con texto seleccionable","CREATED","10057","LCIA-58","Backlog",""
"50","Story","M6.3 — Extraer DOCX de forma segura","CREATED","10058","LCIA-59","Backlog",""
"51","Story","M6.4 — Extraer XLSX visible sin recalcular","CREATED","10059","LCIA-60","Backlog",""
"52","Story","M6.5 — Incorporar OCR local","CREATED","10060","LCIA-61","Backlog",""
"53","Task","M6.6 — Publicar actualizaciones atómicas del índice","CREATED","10061","LCIA-62","Backlog",""
"54","Task","M6.7 — Aislar límites y archivos hostiles","CREATED","10062","LCIA-63","Backlog",""
"55","Story","M6.8 — E2E de búsqueda por contenido local","CREATED","10063","LCIA-64","Backlog",""
"57","Task","M7.1 — Definir esquema del dataset de evaluación","CREATED","10064","LCIA-65","Backlog",""
"58","Task","M7.2 — Crear runner de evaluación reproducible","CREATED","10065","LCIA-66","Backlog",""
"59","Task","M7.3 — Calcular métricas de recuperación","CREATED","10066","LCIA-67","Backlog",""
"60","Story","M7.4 — Definir evidencia suficiente por tipo documental","CREATED","10067","LCIA-68","Backlog",""
"61","Task","M7.5 — Implementar CandidateResolutionPolicy real","CREATED","10068","LCIA-69","Backlog",""
"62","Story","M7.6 — Emitir informe de decisión del piloto técnico","CREATED","10069","LCIA-70","Backlog",""
"64","Task","M8.1 — Modelar TransferRequest y ciclo de vida","CREATED","10070","LCIA-71","Backlog",""
"65","Story","M8.2 — Reautorizar obtención en remoto","CREATED","10071","LCIA-72","Backlog",""
"66","Story","M8.3 — Reautorizar y resolver referencia en gateway","CREATED","10072","LCIA-73","Backlog",""
"67","Task","M8.4 — Implementar buffer temporal aislado","CREATED","10073","LCIA-74","Backlog",""
"68","Story","M8.5 — Transferir y verificar integridad extremo a extremo","CREATED","10074","LCIA-75","Backlog",""
"69","Story","M8.6 — Entregar documento con acceso de un solo uso","CREATED","10075","LCIA-76","Backlog",""
"70","Task","M8.7 — Propagar cancelación y limpieza","CREATED","10076","LCIA-77","Backlog",""
"71","Story","M8.8 — E2E de obtención segura","CREATED","10077","LCIA-78","Backlog",""
"73","Story","M9.1 — Interpretar consulta con LLM como pistas no autoritativas","CREATED","10078","LCIA-79","Backlog",""
"74","Task","M9.2 — Definir política de minimización para evidencia enviada a LLM","CREATED","10079","LCIA-80","Backlog",""
"75","Story","M9.3 — Generar respuesta factual estructurada con evidencia","CREATED","10080","LCIA-81","Backlog",""
"76","Task","M9.4 — Registrar coste y metadatos LLM","CREATED","10081","LCIA-82","Backlog",""
"77","Task","M9.5 — Añadir guardas de contenido no confiable","CREATED","10082","LCIA-83","Backlog",""
