Summary,Work Type,Issue ID,Parent,Description,Priority,Labels
M0 — Base de ingeniería reproducible,Epic,1,,"Objetivo:
Convertir el núcleo sintético existente en una base verde, verificable y apta para crecer sin arrastrar deuda de build ni ambigüedad de arquitectura.

Gate de salida:
El repositorio compila y empaqueta desde CLI; los 30 escenarios sintéticos pasan; CI reproduce el resultado; el cambio sintético queda cerrado o explícitamente preparado para archivo.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",Highest,lcia-m0-foundation
M0.1 — Fijar toolchain Java/Maven soportado,Task,2,1,"Objetivo:
Definir y hacer reproducible la versión de Java y Maven usada por el proyecto, eliminando el fallo actual de release no disponible.

Criterios de aceptación:
- `java -version` y `mvn -version` muestran versiones compatibles.
- `mvn clean test` no falla por toolchain.
- IDE y CLI usan el mismo JDK.
- La versión elegida queda documentada en el repositorio.

Pruebas TDD:
- Primero reproducir el fallo actual.
- Añadir una comprobación automatizable de versión o toolchain.
- Ejecutar build limpio tras el cambio.

Dependencias:
Ninguna adicional.

Restricciones de arquitectura:
- No introducir Java 25 si no existe una necesidad funcional demostrada.
- Preferir una versión LTS compatible con Spring Boot y el entorno.",Highest,lcia-m0-foundation
M0.2 — Verificar el núcleo synthetic-retrieval,Task,3,1,"Objetivo:
Demostrar que el núcleo sintético representa de forma estable las reglas de tenant, ámbito, cobertura y consolidación ya especificadas.

Criterios de aceptación:
- La matriz contiene 30 escenarios.
- Los 30 tests pasan.
- `mvn package` finaliza correctamente.
- `git diff --check` no devuelve errores.
- UNEQUIVOCAL no se declara implementado si sigue fuera del dominio sintético.

Pruebas TDD:
- Ejecutar la suite completa antes de modificar.
- Caracterizar cualquier comportamiento dudoso con test antes de tocar implementación.
- Guardar evidencia del resultado final.

Dependencias:
M0.1.",Highest,lcia-m0-foundation
M0.3 — Cerrar el cambio SDD sintético,Task,4,1,"Objetivo:
Cerrar formalmente el cambio `synthetic-document-retrieval-foundation` sin falsear el mecanismo de OpenSpec.

Criterios de aceptación:
- Specs, implementación y evidencia no se contradicen.
- El cambio queda archivado mediante mecanismo confirmado o marcado como verificado y listo para archivo.
- No se modifica código funcional incidentalmente.
- Los riesgos residuales quedan visibles.

Pruebas TDD:
- Volver a ejecutar test/package después de los cambios de cierre.
- Comprobar que ninguna edición documental rompe el mapeo de 30 escenarios.

Dependencias:
M0.2.",High,lcia-m0-foundation
M0.4 — Crear guardas de arquitectura base,Task,5,1,"Objetivo:
Introducir tests de arquitectura que protejan DDD/hexagonal desde el primer incremento real.

Criterios de aceptación:
- El dominio no depende de Spring.
- El dominio no depende de JPA.
- Los adaptadores no son referenciados desde dominio.
- Los controladores dependen de puertos/casos de uso y no de repositorios concretos.
- Las reglas se ejecutan en CI.

Pruebas TDD:
- Escribir ArchUnit tests que fallen con una violación controlada o validar contra la estructura actual.
- Dejar los tests verdes con la estructura objetivo.

Dependencias:
M0.1.

Restricciones de arquitectura:
- Las reglas deben proteger dependencias, no imponer una jerarquía artificial de paquetes.
- No crear `shared` como cajón de utilidades.",High,lcia-m0-foundation
M0.5 — Configurar CI mínima de calidad,Task,6,1,"Objetivo:
Hacer que cada push/PR ejecute automáticamente el build y las pruebas críticas.

Criterios de aceptación:
- CI ejecuta build limpio.
- CI ejecuta tests unitarios y de arquitectura.
- Un fallo bloquea el merge.
- El workflow no depende de secretos innecesarios.
- La versión de Java coincide con M0.1.

Pruebas TDD:
- Provocar temporalmente un fallo en rama local o validar que un test fallido marca el job en rojo.
- Restaurar y verificar pipeline verde.

Dependencias:
M0.1, M0.2 y M0.4.",High,lcia-m0-foundation
M1 — Walking skeleton remoto ↔ gateway,Epic,7,,"Objetivo:
Recorrer el sistema real con dos procesos: el remoto entrega una búsqueda y un gateway devuelve candidatos sintéticos minimizados.

Gate de salida:
Un E2E levanta remoto y gateway, entrega trabajo por long-polling, ejecuta una búsqueda sintética y produce un resultado determinista sin rutas ni contenido documental.

Política de ejecución:
- El hito se cierra por evidencia ejecutable, no por documentación.
- Las decisiones de seguridad no resueltas bloquean; las decisiones técnicas reversibles no.
- Cada ticket hijo debe terminar con tests y una PR/revisión autocontenida.",Highest,lcia-m1-walking-skeleton
M1.1 — Definir contratos mínimos de búsqueda y trabajo,Task,8,7,"Objetivo:
Modelar contratos tipados para SearchRequest, WorkItem, Candidate, GatewayContribution y AggregateSearchResult.

Criterios de aceptación:
- Los contratos expresan tenant, gateway, fuentes autorizadas, correlación, idempotencia, emisión/expiración y versión donde corresponda.
- Candidate no tiene ruta, bytes ni texto documental.
- No se usan `Map<String,Object>`.
- Los estados se modelan con tipos/enums explícitos.

Pruebas TDD:
- Tests unitarios de invariantes y serialización del contrato.
- Test negativo: un candidato no puede construirse sin procedencia/referencia opaca.

Dependencias:
M0 completo.

Restricciones de arquitectura:
- Dominio/protocolo no depende de HTTP.
- No fijar todavía endpoints definitivos ni criptografía.",Highest,lcia-m1-walking-skeleton
M1.2 — Implementar cola remota de trabajo en memoria,Task,9,7,"Objetivo:
Permitir que el servicio remoto registre y entregue trabajo pendiente a un gateway sin persistencia definitiva.

Criterios de aceptación:
- Un work item se asigna solo al gateway destinatario.
- La misma idempotency key representa una única operación lógica.
- Un trabajo expirado no se entrega.
- El estado puede consultarse por correlación.

Pruebas TDD:
- Unit tests del caso de uso con reloj fake.
- Test de idempotencia.
- Test de expiración.

Dependencias:
M1.1.",High,lcia-m1-walking-skeleton
M1.3 — Implementar long-poll básico del gateway,Story,10,7,"Objetivo:
Permitir que el gateway inicie una conexión HTTPS saliente y espere trabajo compatible.

Criterios de aceptación:
- El gateway no requiere puerto entrante.
- Un poll sin trabajo termina de forma controlada.
- Un poll con trabajo devuelve una orden válida.
- La reconexión normal no duplica la operación lógica.

Pruebas TDD:
- Integration test remoto-gateway.
- Test de poll vacío.
- Test de reconexión.

Dependencias:
M1.2.

Restricciones de arquitectura:
- Sin WebSocket, broker ni túnel permanente.",Highest,lcia-m1-walking-skeleton
